Total Rules: 127912

P0=53290 	P1=0     	P2=74554 	P3=68    	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 26795

srcMask=0: 1441
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8: 109931	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:  902	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 15638	

dstMask=0: 2232
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8: 74493	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:   29	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 51158	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
84	 463	   0	   3	  62	 285	   0	   0	 224	 224	 181	   0	 417
85	 416	   0	   3	  61	 283	   0	   0	 223	 192	 204	   0	 364
86	 439	   0	   4	  58	 285	   0	   0	 195	 207	 217	   0	 383
87	 418	   0	   4	  69	 280	   0	   0	 193	 225	 183	   0	 367
88	 384	   0	   4	  74	 299	   0	   0	 208	 217	 217	   0	 381
89	 417	   0	   4	  67	 279	   0	   0	 210	 185	 229	   0	 331
90	 425	   0	   3	  66	 260	   0	   0	 200	 184	 211	   0	 366
91	 417	   0	   4	  52	 280	   0	   1	 197	 193	 196	   0	 335
92	 426	   0	   3	  64	 270	   0	   0	 193	 193	 188	   0	 306
93	 405	   0	   5	  67	 273	   0	   0	 198	 194	 200	   0	 353
94	 420	   0	   4	  63	 289	   0	   0	 202	 226	 199	   0	 274
95	 440	   0	   3	  61	 310	   0	   0	 194	 212	 208	   0	 343
96	 436	   0	   5	  57	 287	   0	   0	 235	 218	 211	   0	 288
97	 412	   0	   4	  67	 279	   0	   0	 179	 210	 207	   0	 273
98	 435	   0	   4	  66	 287	   0	   0	 216	 197	 189	   0	 279
99	 384	   0	   6	  64	 257	   0	   0	 217	 201	 188	   0	 256
100	 418	   0	   3	  59	 287	   0	   0	 232	 208	 193	   0	 267
101	 469	   0	   3	  69	 274	   0	   0	 190	 201	 193	   0	 241
102	 415	   0	   4	  55	 283	   0	   0	 192	 193	 204	   0	 218
103	 425	   0	   4	  79	 282	   0	   0	 180	 216	 232	   0	 238
104	 401	   0	   5	  63	 262	   0	   0	 208	 197	 197	   0	 233
105	 421	   0	   3	  52	 307	   0	   0	 204	 211	 201	   0	 221
106	 402	   0	   4	  64	 255	   0	   0	 194	 205	 177	   0	 194
107	 409	   0	   3	  63	 309	   0	   0	 216	 203	 192	   0	 186
108	 426	   0	   3	  55	 284	   0	   0	 208	 207	 203	   0	 179
109	 410	   0	   3	  59	 237	   0	   0	 201	 192	 188	   0	 160
110	 384	   0	   4	  59	 288	   0	   1	 206	 193	 182	   0	 184
111	 409	   0	   3	  53	 275	   0	   0	 204	 207	 207	   0	 135
112	 457	   0	   4	  52	 303	   0	   0	 196	 219	 194	   0	 136
113	 384	   0	   4	  54	 284	   0	   0	 190	 204	 190	   0	 127
114	 425	   0	   4	  56	 276	   0	   1	 185	 210	 201	   0	 134
115	 442	   0	   4	  62	 285	   0	   0	 199	 203	 190	   0	 111
116	 420	   0	   3	  60	 272	   0	   0	 197	 204	 186	   0	 115
117	 406	   0	   3	  58	 260	   0	   0	 195	 212	 200	   0	  97
118	 413	   0	   5	  54	 266	   0	   0	 213	 190	 193	   0	  82
119	 429	   0	   4	  52	 299	   0	   0	 181	 202	 200	   0	  72
120	 407	   0	   5	  52	 281	   0	   0	 202	 193	 173	   0	  61
121	 416	   0	   3	  51	 282	   0	   0	 191	 192	 218	   0	  62
122	 407	   0	   3	  72	 259	   0	   0	 197	 211	 218	   0	  54
123	 439	   0	   4	  62	 270	   0	   0	 192	 215	 193	   0	  38
124	 390	   0	   4	  63	 277	   0	   1	 214	 191	 188	   0	  34
125	 396	   0	   3	  74	 266	   0	   0	 195	 226	 219	   0	  17
126	 425	   0	   4	  65	 296	   0	   0	 203	 210	 203	   0	   8
127	 405	   0	   4	  52	 268	   0	   0	 185	 197	 201	   0	   6
128	 394	   0	   4	  56	 281	   0	   0	 214	 211	 213	   0	   0
129	 461	   0	   3	  62	 279	   0	   0	 206	 193	 185	   0	   0
130	 438	   0	   4	  68	 293	   0	   0	 216	 180	 190	   0	   0
131	 397	   0	   3	  59	 254	   0	   0	 192	 226	 201	   0	   0
132	 448	   0	   3	  61	 280	   0	   1	 219	 193	 195	   0	   0
133	 423	   0	   3	  63	 258	   0	   0	 199	 202	 204	   0	   0
134	 419	   0	   3	  59	 274	   0	   0	 198	 200	 216	   0	   0
135	 370	   0	   3	  70	 299	   0	   1	 196	 180	 194	   0	   0
136	 414	   0	   4	  73	 272	   0	   0	 218	 228	 185	   0	   0
137	 440	   0	   3	  55	 287	   0	   0	 194	 220	 209	   0	   0
138	 419	   0	   3	  70	 281	   0	   0	 194	 197	 200	   0	   0
139	 410	   0	   3	  59	 269	   0	   0	 174	 175	 171	   0	   0
140	 415	   0	   3	  64	 270	   0	   0	 194	 197	 192	   0	   0
141	 384	   0	   3	  76	 290	   0	   0	 201	 185	 224	   0	   0
142	 403	   0	   3	  57	 291	   0	   0	 198	 196	 186	   0	   0
143	 460	   0	   3	  58	 320	   0	   0	 195	 193	 217	   0	   0
144	 434	   0	   4	  60	 289	   0	   0	 217	 186	 190	   0	   0
145	 409	   0	   4	  64	 277	   0	   0	 199	 211	 183	   0	   0
146	 397	   0	   3	  58	 279	   0	   0	 224	 223	 195	   0	   0
147	 399	   0	   4	  53	 302	   0	   0	 207	 201	 183	   0	   0
148	 415	   0	   4	  52	 256	   0	   0	 214	 197	 221	   0	   0
149	 471	   0	   4	  69	 284	   0	   0	 192	 192	 187	   0	   0
150	 408	   0	   3	  57	 264	   0	   0	 191	 212	 194	   0	   0
151	 404	   0	   5	  68	 284	   0	   0	 172	 215	 219	   0	   0
152	 400	   0	   3	  60	 280	   0	   0	 207	 222	 224	   0	   0
153	 393	   0	   3	  65	 301	   0	   0	 192	 185	 206	   0	   0
154	 442	   0	   3	  66	 253	   0	   0	 179	 192	 189	   0	   0
155	 433	   0	   3	  63	 261	   0	   0	 184	 203	 177	   0	   0
156	 435	   0	   3	  56	 281	   0	   1	 175	 208	 222	   0	   0
157	 405	   0	   4	  48	 274	   0	   0	 188	 214	 185	   0	   0
158	 424	   0	   4	  63	 286	   0	   0	 198	 191	 213	   0	   0
159	 397	   0	   3	  57	 319	   0	   0	 203	 226	 224	   0	   0
160	 384	   0	   5	  60	 290	   0	   0	 207	 196	 184	   0	   0
