Total Rules: 127405

P0=53507 	P1=0     	P2=73897 	P3=1     	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 26663

srcMask=0: 21664
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:  810	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19: 5878	20: 1623	21: 3945	22: 2490	23: 3295	24: 4318	
25:  814	26:    0	27:  785	28: 2339	29:    0	30:    0	31:  655	32: 78789	

dstMask=0: 76184
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:  820	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19: 5907	20: 1594	21: 3987	22: 2492	23: 3418	24: 3443	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 29560	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
102	   0	 337	 557	 297	   0	 338	  13	 102	 145	   5	 144	 131
103	   0	 316	 554	 304	   0	 305	  14	 117	 145	   4	 166	 153
104	   0	 231	 508	 318	   0	 253	  14	 120	 133	   3	 138	 127
105	   0	 138	 144	 332	   0	 151	  16	 108	 135	   5	 133	 132
106	   0	  97	  43	 309	   0	  89	  12	 118	 148	   2	 136	 122
107	   0	  81	  42	 283	   0	  77	  16	 103	 136	   5	 113	 121
108	   0	  73	  49	 305	   0	  72	  12	 125	 142	   3	 113	  89
109	   0	  94	  51	 274	   0	  95	  14	 119	 146	   3	  94	  97
110	   0	 420	 117	 320	   0	 424	  14	 120	 128	   7	  95	 119
111	   0	 430	 336	 305	   0	 443	  27	 104	 132	   0	  97	  95
112	   0	 387	3973	 292	   0	 373	1528	 115	 139	   3	  91	  82
113	   0	 294	32634	 317	   0	 266	14959	 105	 140	   2	  89	  58
114	   0	 197	25984	 310	   0	 188	12263	 118	 134	   7	  62	  84
115	   0	 152	1768	 308	   0	 155	 857	 119	 150	   4	  74	  67
116	 585	 130	  52	 334	   0	 143	  15	 129	 145	   3	  55	  67
117	1612	  95	  34	 309	 821	  98	  13	 115	 129	   2	  62	  51
118	   0	  70	  41	 314	   0	  72	  14	 118	 131	   4	  59	  56
119	   0	  57	  40	 341	   0	  56	  14	 135	 144	   1	  61	  45
120	 834	  51	  43	 320	 843	  54	  15	 105	 129	   1	  39	  36
121	 391	  46	 130	 308	 393	  50	  16	 115	 155	   1	  29	  32
122	 459	  43	 168	 310	 435	  43	  14	 126	 124	   3	  44	  36
123	   0	  41	 170	 294	   0	  45	  16	 109	 139	   3	  30	  25
124	   0	  39	 162	 316	   0	  38	  14	 100	 135	   1	  20	  28
125	 846	  39	 143	 314	 883	  40	  14	 136	 132	   3	  13	  11
126	   0	  39	 105	 302	   0	  39	  13	 121	 147	   3	   7	   9
127	   0	  40	  58	 323	   0	  37	  14	 117	 135	   3	   2	   4
128	   0	  38	  40	 302	   0	  39	  13	 111	 131	   0	   0	   0
129	   0	  32	  37	 316	   0	  39	  16	 120	 138	   0	   0	   0
130	   0	  37	 159	 323	   0	  36	  15	 127	 139	   0	   0	   0
131	   0	 590	 282	 315	   0	 337	  12	  99	 137	   0	   0	   0
132	   0	1178	 232	 281	   0	 414	  13	 116	 117	   0	   0	   0
133	   0	 803	  57	 318	   0	 393	  16	 114	 113	   0	   0	   0
134	   0	 329	  34	 330	   0	 314	  14	 115	 154	   0	   0	   0
135	   0	 221	  37	 302	   0	 205	  13	 110	 127	   0	   0	   0
136	   0	 153	  36	 318	   0	 131	  15	 128	 147	   0	   0	   0
137	   0	  98	  32	 302	   0	 113	  13	 115	 143	   0	   0	   0
138	   0	  70	  37	 304	   0	  91	  18	 103	 109	   0	   0	   0
139	   0	  44	  35	 288	   0	  52	  13	 109	 136	   0	   0	   0
140	   0	  36	  34	 312	   0	  33	  14	 130	 136	   0	   0	   0
141	   0	  31	  35	 304	   0	  30	  13	 124	 116	   0	   0	   0
142	   0	  30	  84	 293	   0	  31	  14	 130	 132	   0	   0	   0
143	   0	  29	 260	 339	   0	  30	  14	 111	 131	   0	   0	   0
144	   0	  32	 282	 283	   0	  29	  13	 116	 122	   0	   0	   0
145	   0	  31	 290	 297	   0	  27	  15	 124	 129	   0	   0	   0
146	   0	  26	 187	 305	   0	  29	  15	 102	 142	   0	   0	   0
147	   0	  28	  36	 314	   0	  27	  12	 111	 152	   0	   0	   0
148	   0	  27	  28	 306	   0	  28	  12	 113	 141	   0	   0	   0
149	   0	  21	  29	 327	   0	  26	  13	 112	 147	   0	   0	   0
150	   0	  28	  28	 313	   0	  29	  12	 101	 133	   0	   0	   0
151	   0	  24	  33	 322	   0	  23	  15	 123	 127	   0	   0	   0
152	   0	  24	  31	 301	   0	  26	  13	 101	 132	   0	   0	   0
153	   0	  24	  33	 284	   0	  28	  15	 111	 145	   0	   0	   0
154	   0	 696	  66	 279	   0	  80	  13	 117	 139	   0	   0	   0
155	   0	 114	 262	 308	   0	 109	  12	 116	 137	   0	   0	   0
156	   0	 123	 292	 307	   0	 111	  13	 125	 122	   0	   0	   0
157	   0	 113	 286	 308	   0	 119	  13	 111	 125	   0	   0	   0
158	   0	 118	 306	 320	   0	 113	  14	 103	 132	   0	   0	   0
159	   0	 118	 489	 325	   0	 117	  15	 117	 117	   0	   0	   0
160	   0	 116	 532	 285	   0	 117	  14	 113	 138	   0	   0	   0
161	   0	 117	 388	 314	   0	 113	  14	 104	 115	   0	   0	   0
162	   0	6374	 295	 328	   0	 165	  15	 103	 109	   0	   0	   0
163	   0	 205	 282	 289	   0	 222	  13	 106	 125	   0	   0	   0
164	   0	 212	 145	 286	   0	 224	  14	 104	 142	   0	   0	   0
165	   0	 218	  31	 286	   0	 217	  17	 116	 122	   0	   0	   0
166	   0	 204	  33	 305	   0	 209	  15	 118	 124	   0	   0	   0
167	   0	 201	  32	 313	   0	 205	  14	 118	 124	   0	   0	   0
168	   0	 191	  35	 331	   0	 196	  14	 103	 132	   0	   0	   0
169	   0	 182	  32	 309	   0	 187	  15	 113	 105	   0	   0	   0
170	   0	 172	  34	 315	   0	 184	  13	 125	 123	   0	   0	   0
171	   0	 161	  30	 324	   0	 174	  12	 112	 115	   0	   0	   0
172	1414	 153	  33	 340	   9	 155	  15	 111	 125	   0	   0	   0
173	  10	 147	  32	 275	  13	 143	  13	 124	 138	   0	   0	   0
174	  13	 150	  31	 325	  12	 128	  14	 100	 143	   0	   0	   0
175	  12	 128	  28	 319	  12	 125	  13	 108	 135	   0	   0	   0
176	  16	 118	  26	 270	  14	 123	  13	 114	 143	   0	   0	   0
177	  15	 109	  29	 305	  14	 107	  14	 128	 144	   0	   0	   0
178	  16	 100	  31	 305	  15	 107	  15	 118	 128	   0	   0	   0
179	  16	  87	  29	 304	  16	  96	  14	 102	 125	   0	   0	   0
